 ,Area,Mean,Min,Max
1,25557,127.491,78,211
2,24230,124.989,82,202
3,35418,129.803,83,227
4,43231,118.741,69,211
5,16029,133.036,84,204
6,43600,120.421,67,229
7,57428,114.590,62,221
8,35283,119.799,82,195
9,49450,118.245,65,206
10,50052,121.109,75,191
11,60782,115.162,74,202
12,59246,107.736,70,180
13,56907,110.368,58,208
14,62394,114.297,70,175
15,56463,108.888,63,194
16,58527,111.739,70,187
17,68672,113.740,62,204
18,65883,94.887,48,197
19,53507,106.944,66,194
20,66114,103.428,50,192
21,65668,98.100,52,179
22,50617,108.844,64,182
23,66335,92.899,48,179
24,61420,102.913,62,203
25,67317,100.493,55,203
26,74356,99.116,52,200
27,87809,88.659,43,208
28,87119,94.874,48,209
29,80466,96.572,45,189
30,67952,91.701,50,183
31,80797,95.342,47,211
32,76485,104.205,53,227
33,77530,102.314,52,193
34,74592,106.544,59,214
35,63837,99.011,52,198
36,48161,116.652,73,203
37,51528,111.092,64,209
38,42132,118.861,77,195
39,37548,115.395,71,196
40,27203,124.405,75,215
41,45016,117.241,72,218
42,55022,118.296,73,208
