 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1000-3-fb-1.png:0270-0301,1.082E5,1.064E2,1.420E1,9.800E1,7.000E1,1.740E2,6.828E2,5.484E2,6.846E2,5.499E2,1.264E3,4.726E2,7.302E2,4.054E2,3.808E2,4.133E2,3.334E2,3.456E1,8.519E-1,4.322E2,1.152E7,1.040E2,3.249E-1,1.137E0,0.000E0,2.295E6,1.000E0,2.139E2,2.907E2,2.277E1,3.344E2,1.240E0,8.067E-1,9.665E-1
2,1000-3-fb-2.png:0329-0259,1.900E5,1.105E2,1.671E1,1.040E2,6.300E1,1.850E2,5.751E2,3.945E2,5.728E2,3.966E2,1.923E3,3.069E2,7.190E2,5.488E2,6.250E2,7.275E2,3.325E2,1.297E2,6.457E-1,7.282E2,2.099E7,1.090E2,4.204E-1,1.306E-1,0.000E0,4.183E6,1.000E0,1.514E2,2.044E2,1.293E2,3.604E2,2.188E0,4.570E-1,9.325E-1
3,1000-3-fb-4.png:0338-0256,1.534E5,9.484E1,1.683E1,8.500E1,5.400E1,1.910E2,5.776E2,3.943E2,5.757E2,3.834E2,1.504E3,3.472E2,6.272E2,4.547E2,4.794E2,4.518E2,4.322E2,1.004E2,8.526E-1,4.793E2,1.455E7,9.200E1,1.054E0,1.728E0,0.000E0,2.899E6,1.000E0,2.531E2,4.448E2,8.574E1,4.327E2,1.045E0,9.566E-1,9.708E-1
4,1000-3-fb-5.png:0365-0200,1.026E5,1.132E2,1.668E1,1.130E2,6.100E1,1.800E2,4.433E2,3.279E2,4.419E2,3.244E2,1.345E3,2.083E2,5.040E2,4.794E2,3.539E2,5.119E2,2.551E2,1.516E2,7.124E-1,5.147E2,1.162E7,1.120E2,4.368E-1,3.778E-1,0.000E0,2.315E6,1.000E0,9.848E1,3.177E2,1.549E2,2.677E2,2.006E0,4.984E-1,9.472E-1
5,1000-3-fb-6.png:0375-0238,1.125E5,1.063E2,1.679E1,9.600E1,6.100E1,1.940E2,5.275E2,3.128E2,5.293E2,3.082E2,1.278E3,3.315E2,4.950E2,4.032E2,3.830E2,3.999E2,3.581E2,6.672E0,8.650E-1,4.185E2,1.195E7,1.040E2,7.216E-1,1.201E0,0.000E0,2.382E6,1.000E0,1.525E2,3.314E2,1.584E2,3.724E2,1.117E0,8.956E-1,9.680E-1
6,1000-3-fb-7.png:0326-0300,1.191E5,1.025E2,1.541E1,9.600E1,6.300E1,1.630E2,6.861E2,4.288E2,6.902E2,4.269E2,1.501E3,4.032E2,5.734E2,5.376E2,3.203E2,5.460E2,2.778E2,1.710E2,6.644E-1,5.379E2,1.221E7,9.900E1,6.467E-1,5.668E-1,0.000E0,2.433E6,1.000E0,1.800E2,2.970E2,1.753E2,3.056E2,1.965E0,5.089E-1,9.295E-1
7,1000-3-fb-8.png:0359-0240,1.111E5,9.734E1,1.533E1,9.600E1,5.600E1,1.850E2,5.349E2,3.506E2,5.373E2,3.462E2,1.296E3,3.248E2,5.174E2,4.256E2,3.562E2,4.088E2,3.460E2,1.703E2,8.317E-1,4.366E2,1.081E7,9.600E1,7.603E-1,1.531E0,0.000E0,2.155E6,1.000E0,1.472E2,3.288E2,1.641E2,3.546E2,1.181E0,8.464E-1,9.736E-1
8,1000-3-fb-9.png:0404-0177,7.624E4,1.045E2,1.915E1,9.500E1,5.900E1,1.810E2,3.916E2,2.445E2,3.864E2,2.362E2,1.130E3,2.486E2,4.234E2,2.957E2,3.696E2,3.496E2,2.777E2,9.245E1,7.500E-1,3.669E2,7.965E6,1.010E2,6.898E-1,3.637E-1,0.000E0,1.587E6,1.000E0,1.594E2,4.861E2,8.462E1,2.877E2,1.259E0,7.943E-1,9.348E-1
9,1000-3-fb-10.png:0204-0269,1.836E5,1.062E2,1.399E1,1.030E2,6.700E1,1.580E2,5.930E2,6.829E2,5.961E2,6.827E2,1.770E3,3.091E2,9.117E2,5.891E2,4.502E2,5.720E2,4.087E2,1.658E2,7.366E-1,5.920E2,1.950E7,1.060E2,1.472E-1,4.946E-1,0.000E0,3.887E6,1.000E0,1.387E2,2.425E2,9.689E0,4.120E2,1.400E0,7.145E-1,9.451E-1
10,1000-3-fb-11.png:0219-0269,1.588E5,9.875E1,1.454E1,9.700E1,6.300E1,1.660E2,5.966E2,6.452E2,5.953E2,6.467E2,1.536E3,3.830E2,8.938E2,4.390E2,4.816E2,4.729E2,4.274E2,9.696E1,8.458E-1,4.862E2,1.568E7,9.700E1,5.675E-1,8.571E-1,0.000E0,3.124E6,1.000E0,2.520E2,1.128E2,1.005E2,4.318E2,1.107E0,9.037E-1,9.721E-1
11,1000-3-fb-12.png:0209-0277,1.641E5,9.961E1,1.809E1,9.600E1,4.900E1,1.790E2,6.337E2,6.891E2,6.337E2,6.915E2,1.607E3,3.898E2,9.162E2,4.637E2,4.794E2,4.889E2,4.274E2,1.303E2,7.986E-1,5.061E2,1.635E7,9.800E1,5.234E-1,2.813E-1,0.000E0,3.258E6,1.000E0,2.102E2,1.165E2,1.254E2,4.489E2,1.144E0,8.743E-1,9.601E-1
12,1000-3-fb-13.png:0229-0292,1.368E5,1.067E2,1.377E1,1.060E2,7.000E1,1.670E2,6.495E2,6.238E2,6.526E2,6.215E2,1.463E3,4.234E2,8.445E2,4.614E2,4.256E2,4.824E2,3.610E2,1.483E2,8.032E-1,4.900E2,1.459E7,1.060E2,5.433E-1,7.123E-1,0.000E0,2.908E6,1.000E0,2.187E2,1.557E2,1.388E2,3.776E2,1.336E0,7.483E-1,9.569E-1
13,1000-3-fb-14.png:0270-0153,1.752E5,9.287E1,1.339E1,9.600E1,5.300E1,1.620E2,3.583E2,5.475E2,3.609E2,5.460E2,1.604E3,9.856E1,7.773E2,4.906E2,4.749E2,5.179E2,4.308E2,1.441E2,8.561E-1,5.351E2,1.627E7,9.300E1,4.187E-1,1.436E0,0.000E0,3.243E6,1.000E0,6.036E1,2.023E2,1.415E2,4.453E2,1.202E0,8.319E-1,9.767E-1
14,1000-3-fb-15.png:0266-0296,1.723E5,1.016E2,1.600E1,9.700E1,5.600E1,1.660E2,6.559E2,5.542E2,6.563E2,5.533E2,1.661E3,4.166E2,7.997E2,4.928E2,5.040E2,5.162E2,4.250E2,1.347E2,7.844E-1,5.374E2,1.750E7,1.010E2,2.279E-1,1.930E-1,0.000E0,3.488E6,1.000E0,1.991E2,1.948E2,1.489E2,4.310E2,1.214E0,8.234E-1,9.596E-1
15,1000-3-fb-16.png:0258-0268,1.452E5,1.019E2,1.641E1,9.900E1,6.200E1,1.710E2,6.126E2,5.681E2,6.160E2,5.687E2,1.499E3,3.786E2,7.862E2,4.435E2,4.390E2,4.461E2,4.144E2,1.489E2,8.123E-1,4.662E2,1.480E7,1.010E2,4.530E-1,3.086E-1,0.000E0,2.949E6,1.000E0,1.715E2,2.309E2,1.536E2,4.205E2,1.076E0,9.291E-1,9.627E-1
